sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
PR;SÃO JERÔNIMO DA SERRA;Prefeito;10;VENICIUS DJALMA ROSA;REPUBLICANOS;REPUBLICANOS / PP / PRD / PSB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;6034;SÃO JERÔNIMO DA SERRA;4124707.0
MG;DOM BOSCO;Prefeito;55;VENÍCIO JOSÉ DE OLIVEIRA;PSD;PSD / SOLIDARIEDADE;Não eleito;11;SUDESTE;1139;DOM BOSCO;3122470.0
RS;PONTÃO;Prefeito;13;VELTON VICENTE HAHN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;1476;PONTÃO;4314779.0
GO;CATALÃO;Prefeito;15;VELOMAR GONÇALVES RIOS;MDB;PP / MDB / PODE / PMB / UNIÃO / SOLIDARIEDADE / PSD;Eleito;11;CENTRO-OESTE;31730;CATALÃO;5205109.0
MA;MONÇÃO;Prefeito;10;VEIBER LUIZ MARQUES PEREIRA;REPUBLICANOS;REPUBLICANOS / PMB;Não eleito;11;NORDESTE;998;MONÇÃO;2106904.0
MT;CÁCERES;Prefeito;40;ANTÔNIA ELIENE LIBERATO DIAS;PSB;PSB / UNIÃO / REPUBLICANOS / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;CENTRO-OESTE;23286;CÁCERES;5102504.0
MG;EUGENÓPOLIS;Prefeito;11;VASCO NAVARRO RODRIGUES CALDAS;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2600;EUGENÓPOLIS;3124906.0
RS;BOM PRINCÍPIO;Prefeito;15;VASCO ALEXANDRE BRANDT;MDB;MDB;Eleito;11;SUL;4758;BOM PRINCÍPIO;4302352.0
ES;MANTENÓPOLIS;Prefeito;13;VARLY LIMA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / AGIR / PSB;Não eleito;11;SUDESTE;2442;MANTENÓPOLIS;3203304.0
PR;IVATUBA;Prefeito;10;VARLEI VERCEZI;REPUBLICANOS;REPUBLICANOS / PP;Eleito;11;SUL;1279;IVATUBA;4111605.0
SC;SÃO MIGUEL DO OESTE;Prefeito;22;VARDELIDIO EDENILSON ZANARDI;PL;PL / MDB / REPUBLICANOS / PDT / PODE / PSD;Eleito;11;SUL;13334;SÃO MIGUEL DO OESTE;4217204.0
GO;PORANGATU;Prefeito;44;VANUZA PRIMO DE ARAÚJO VALADARES;UNIÃO;REPUBLICANOS / PP / MDB / UNIÃO / PSD / PSB / DC;Eleito;11;CENTRO-OESTE;11739;PORANGATU;5218003.0
PB;SOSSÊGO;Prefeito;10;VANUSA DA PAZ MEDEIROS;REPUBLICANOS;REPUBLICANOS;Eleito;11;NORDESTE;1733;SOSSÊGO;2516151.0
GO;DAVINÓPOLIS;Prefeito;20;VANUSA APARECIDA BENTO GOMES;PODE;REPUBLICANOS / PP / PODE / PL / PRD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;CENTRO-OESTE;1891;DAVINÓPOLIS;5206909.0
RS;SANTO EXPEDITO DO SUL;Prefeito;22;VANTUIR DUTRA;PL;REPUBLICANOS / PL / UNIÃO;Eleito;11;SUL;1127;SANTO EXPEDITO DO SUL;4317954.0
RS;MARCELINO RAMOS;Prefeito;15;VANNEI MAFISSONI;MDB;MDB / PP / PL;Eleito;11;SUL;2165;MARCELINO RAMOS;4311908.0
MT;PRIMAVERA DO LESTE;Prefeito;22;SERGIO MACHNIC;PL;PL / AGIR / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / REPUBLICANOS / PODE / PRTB / PMB / NOVO;Eleito;11;CENTRO-OESTE;23110;PRIMAVERA DO LESTE;5107040.0
SE;AQUIDABÃ;Prefeito;33;VANILTON FRANCISCO DOS SANTOS;MOBILIZA;MOBILIZA;Não eleito;11;NORDESTE;170;AQUIDABÃ;
AM;JAPURÁ;Prefeito;44;VANILSO MONTEIRO DA SILVA;UNIÃO;UNIÃO / MDB / PSD;Eleito;11;NORTE;3355;JAPURÁ;
MT;BARRA DO GARÇAS;Prefeito;44;ADILSON GONÇALVES DE MACEDO;UNIÃO;PDT / MDB / PODE / PRD / DC / PMB / UNIÃO / SOLIDARIEDADE;Eleito;11;CENTRO-OESTE;23028;BARRA DO GARÇAS;5101803.0
BA;ADUSTINA;Prefeito;13;VANICLEIDE DE JESUS ANDRADE;PT;SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;2488;ADUSTINA;2900355.0
MA;MATÕES DO NORTE;Prefeito;25;VANIA PIMENTEL SILVA;PRD;PRD / MOBILIZA;Não eleito;11;NORDESTE;603;MATÕES DO NORTE;2106631.0
RS;MONTE ALEGRE DOS CAMPOS;Prefeito;12;VÂNIA MACIEL BOEIRA;PDT;PDT / MDB;Não eleito;11;SUL;1455;MONTE ALEGRE DOS CAMPOS;4312377.0
MG;BONITO DE MINAS;Prefeito;70;VÂNIA CARNEIRO DE CARVALHO;AVANTE;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / AVANTE / PDT;Não eleito;11;SUDESTE;3150;BONITO DE MINAS;3108255.0
RS;POÇO DAS ANTAS;Prefeito;12;VÂNIA BRACKMANN;PDT;PDT / PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;876;POÇO DAS ANTAS;4314753.0
RS;PALMARES DO SUL;Prefeito;15;VANIA BEATRIS RODRIGUES MORAES;MDB;MDB / PRD / PL;Não eleito;11;SUL;846;PALMARES DO SUL;4313656.0
SP;ITAPEVA;Prefeito;10;VANESSA VALÉRIO DE ALMEIDA SILVA;REPUBLICANOS;REPUBLICANOS;Não eleito;11;SUDESTE;9133;ITAPEVA;3522406.0
SP;RIO DAS PEDRAS;Prefeito;22;VANESSA STOCCO BOTAM;PL;PL / UNIÃO;Não eleito;11;SUDESTE;8517;RIO DAS PEDRAS;3544004.0
MA;PARAIBANO;Prefeito;44;VANESSA QUEIROZ FURTADO FERRO;UNIÃO;UNIÃO / MDB / PL / MOBILIZA / PSB / AVANTE;Eleito;11;NORDESTE;6181;PARAIBANO;2107704.0
RN;ASSÚ;Prefeito;44;VANESSA PINTO BRASILEIRO LOPES;UNIÃO;PP / UNIÃO / PODE / AVANTE;Não eleito;11;NORDESTE;17808;ASSÚ;
BA;UMBURANAS;Prefeito;11;VANESSA NUNES GOMES FREIRES;PP;PP;Não eleito;11;NORDESTE;345;UMBURANAS;2932457.0
SC;SÃO JOSÉ;Prefeito;30;VANESSA MILIS VIEIRA;NOVO;NOVO;Não eleito;11;SUL;7610;SÃO JOSÉ;
PI;LAGOA DO SÍTIO;Prefeito;13;VANESSA HELENA AMORIM NEVES REIS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1022;LAGOA DO SÍTIO;2205599.0
PA;AURORA DO PARÁ;Prefeito;15;VANESSA GUSMÃO MIRANDA;MDB;MDB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORTE;10639;AURORA DO PARÁ;
MA;PEDREIRAS;Prefeito;44;VANESSA DOS PRAZERES SANTOS;UNIÃO;UNIÃO / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PP / PDT / SOLIDARIEDADE / AVANTE;Eleito;11;NORDESTE;14596;PEDREIRAS;2108207.0
BA;LENÇÓIS;Prefeito;55;VANESSA DOS ANJOS TELES SENNA;PSD;PSB / MDB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE / SOLIDARIEDADE;Eleito;11;NORDESTE;5043;LENÇÓIS;2919306.0
MA;PERITORÓ;Prefeito;44;VANESSA CAMPOS BENICIO MURAD;UNIÃO;MDB / UNIÃO;Não eleito;11;NORDESTE;1606;PERITORÓ;
MG;MATEUS LEME;Prefeito;12;VANESSA APARECIDA DA FONSECA GUIMARÃES;PDT;PDT / UNIÃO;Não eleito;11;SUDESTE;3158;MATEUS LEME;3140704.0
SC;IRATI;Prefeito;45;VANELI DALACORTE BOMBIERI;PSDB;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;709;IRATI;4207858.0
SC;TUNÁPOLIS;Prefeito;13;VANDUIR MATIAS DETERS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;511;TUNÁPOLIS;4218756.0
MT;SORRISO;Prefeito;15;LEANDRO CARLOS DAMIANI;MDB;PDT / MDB / PODE / PL / DC / PRTB / NOVO / AGIR / PSD;Não eleito;11;CENTRO-OESTE;22556;SORRISO;5107925.0
MG;PEDRA DOURADA;Prefeito;33;VANDIR PEDROSA DE MENDONÇA;MOBILIZA;MOBILIZA;Não eleito;11;SUDESTE;104;PEDRA DOURADA;3149002.0
RS;TOROPI;Prefeito;11;VANDIR OESTERREICH;PP;PP;Eleito;11;SUL;1108;TOROPI;4321493.0
PR;ADRIANÓPOLIS;Prefeito;55;VANDIR DE OLIVEIRA ROSA;PSD;UNIÃO / PSD;Eleito;11;SUL;3269;ADRIANÓPOLIS;4100202.0
MA;AMARANTE DO MARANHÃO;Prefeito;15;VANDERLY GOMES MIRANDA;MDB;REPUBLICANOS / MDB / PL / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB;Eleito;11;NORDESTE;13252;AMARANTE DO MARANHÃO;2100600.0
AM;NOVO ARIPUANÃ;Prefeito;13;VANDERLY GENIVAM DOS REIS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORTE;786;NOVO ARIPUANÃ;
MG;INDAIABIRA;Prefeito;44;VANDERLUCIO DE OLIVEIRA;UNIÃO;UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;3930;INDAIABIRA;3130655.0
MT;JUÍNA;Prefeito;44;PAULO AUGUSTO VERONESE;UNIÃO;REPUBLICANOS / PP / MDB / PODE / PL / PSB / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;CENTRO-OESTE;19647;JUÍNA;5105150.0
MG;FRANCISCO BADARÓ;Prefeito;20;VANDERLÉIA VIANA DOS SANTOS;PODE;PRTB / PODE;Não eleito;11;SUDESTE;69;FRANCISCO BADARÓ;
SP;BOM SUCESSO DE ITARARÉ;Prefeito;22;VANDERLEIA APARECIDA DOS SANTOS SOUZA;PL;PL / PSD / AVANTE;Não eleito;11;SUDESTE;1278;BOM SUCESSO DE ITARARÉ;
SC;AURORA;Prefeito;22;VANDERLEI ZANDONAI;PL;REPUBLICANOS / PL / PSD;Eleito;11;SUL;2659;AURORA;4201901.0
SC;PIRATUBA;Prefeito;55;VANDERLEI WEBER;PSD;PSD;Eleito;11;SUL;2489;PIRATUBA;4213104.0
PR;SÃO JORGE D'OESTE;Prefeito;55;VANDERLEI TREVELIN;PSD;PP / PODE / PL / PSB / PSD;Não eleito;11;SUL;3079;SÃO JORGE D'OESTE;4125209.0
RS;SÃO VALÉRIO DO SUL;Prefeito;12;VANDERLEI STEIGER;PDT;PDT;Não eleito;11;SUL;756;SÃO VALÉRIO DO SUL;4319737.0
MG;SANTO ANTÔNIO DO JACINTO;Prefeito;70;VANDERLEI RODRIGUES SANTANA;AVANTE;PL / AVANTE / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2746;SANTO ANTÔNIO DO JACINTO;3160306.0
SP;UBARANA;Prefeito;55;VANDERLEI RODRIGUES DA CRUZ;PSD;PP / PSD;Eleito;11;SUDESTE;1800;UBARANA;3555356.0
SP;PIRANGI;Prefeito;22;VANDERLEI ROBSON DE OLIVEIRA;PL;PL;Eleito;11;SUDESTE;2635;PIRANGI;3539004.0
GO;SANTA RITA DO NOVO DESTINO;Prefeito;20;VANDERLEI RAIMUNDO SOARES;PODE;PODE / DC;Não eleito;11;CENTRO-OESTE;0;SANTA RITA DO NOVO DESTINO;5219456.0
PI;JACOBINA DO PIAUÍ;Prefeito;15;VANDERLEI RAIMUNDO DE CARVALHO;MDB;MDB;Eleito;11;NORDESTE;4254;JACOBINA DO PIAUÍ;
PR;ESPIGÃO ALTO DO IGUAÇU;Prefeito;22;VANDERLEI ODAIR ROHDEN;PL;PL;Não eleito;11;SUL;934;ESPIGÃO ALTO DO IGUAÇU;4107546.0
MT;NOVA MUTUM;Prefeito;44;LEANDRO FELIX PEREIRA;UNIÃO;UNIÃO / REPUBLICANOS / PP / PRD;Eleito;11;CENTRO-OESTE;19565;NOVA MUTUM;5106224.0
SP;PEDRA BELA;Prefeito;44;VANDERLEI LOPES DA SILVA;UNIÃO;MDB / PODE / UNIÃO;Eleito;11;SUDESTE;2059;PEDRA BELA;3536802.0
SC;FLOR DO SERTÃO;Prefeito;55;VANDERLEI KUHN;PSD;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD;Não eleito;11;SUL;762;FLOR DO SERTÃO;4205357.0
RS;ARROIO DO TIGRE;Prefeito;11;VANDERLEI HERMES;PP;PP / PDT;Eleito;11;SUL;5528;ARROIO DO TIGRE;4301206.0
SC;SUL BRASIL;Prefeito;10;VANDERLEI GALLINA;REPUBLICANOS;REPUBLICANOS / PP;Eleito;11;SUL;880;SUL BRASIL;4217758.0
SC;FLORIANÓPOLIS;Prefeito;13;VANDERLEI FARIAS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB;Não eleito;11;SUL;16001;FLORIANÓPOLIS;4205407.0
MG;ITAVERAVA;Prefeito;55;VANDERLEI DIAS NEIVA;PSD;PSD / UNIÃO;Não eleito;11;SUDESTE;2321;ITAVERAVA;3133907.0
SC;MONTE CARLO;Prefeito;45;VANDERLEI CUNEN;PSDB;REPUBLICANOS / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;1780;MONTE CARLO;4211058.0
MG;TAPIRAÍ;Prefeito;70;VANDERLEI CASSIANO DE RESENDE;AVANTE;MDB / AVANTE / PL;Eleito;11;SUDESTE;1376;TAPIRAÍ;
SC;IRANI;Prefeito;11;VANDERLEI CANCI;PP;PP / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;4718;IRANI;4207809.0
PR;SÃO PEDRO DO PARANÁ;Prefeito;22;VANDERLEI CAETANO DE CASTRO;PL;PL / UNIÃO;Eleito;11;SUL;1250;SÃO PEDRO DO PARANÁ;
SP;SÃO JOÃO DA BOA VISTA;Prefeito;55;VANDERLEI BORGES DE CARVALHO;PSD;PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / AVANTE / PSD / MDB / PRD / PRTB / PMB / REPUBLICANOS;Eleito;11;SUDESTE;19429;SÃO JOÃO DA BOA VISTA;3549102.0
SC;SÃO MIGUEL DA BOA VISTA;Prefeito;22;VANDERLEI BONALDO;PL;REPUBLICANOS / PL / PP;Eleito;11;SUL;1039;SÃO MIGUEL DA BOA VISTA;4217154.0
MT;CAMPO VERDE;Prefeito;44;ALEXANDRE LOPES DE OLIVEIRA;UNIÃO;REPUBLICANOS / PP / MDB / PODE / PRD / PSB / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;CENTRO-OESTE;19441;CAMPO VERDE;5102678.0
GO;MUTUNÓPOLIS;Prefeito;22;VANDERLEI ANTONIO DE CARVALO;PL;PP / PL / PODE;Não eleito;11;CENTRO-OESTE;1198;MUTUNÓPOLIS;5214101.0
MT;PONTES E LACERDA;Prefeito;22;JAKSON FRANCISCO BASSI;PL;PL / PRTB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;CENTRO-OESTE;16634;PONTES E LACERDA;5106752.0
MG;SERRANOS;Prefeito;13;VANDERLEI ANTONIO DA COSTA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;212;SERRANOS;3167004.0
SC;BELMONTE;Prefeito;13;VANDERLEI ANDREOLA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;97;BELMONTE;4202156.0
SP;TANABI;Prefeito;70;VANDERLEI ALARCON VOLTIAN;AVANTE;AVANTE;Não eleito;11;SUDESTE;275;TANABI;3553401.0
GO;GOIÂNIA;Prefeito;55;VANDERLAN VIEIRA CARDOSO;PSD;PSD / PP;Não eleito;11;CENTRO-OESTE;45186;GOIÂNIA;5208707.0
RS;ESTEIO;Prefeito;30;VANDERLAN CARVALHO DE VASCONSELOS;NOVO;NOVO;Não eleito;11;SUL;3167;ESTEIO;4307708.0
RS;NOVA CANDELÁRIA;Prefeito;13;VANDER RICARDO DICK WILLE;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PDT;Não eleito;11;SUL;962;NOVA CANDELÁRIA;4313011.0
ES;ITARANA;Prefeito;40;VANDER PATRICIO;PSB;MDB / PSB / PODE / PDT / PSD;Eleito;11;SUDESTE;6273;ITARANA;3202900.0
GO;ITAPURANGA;Prefeito;25;VANDER LUIZ DE MELO;PRD;PRD;Não eleito;11;CENTRO-OESTE;235;ITAPURANGA;5211206.0
MG;GONZAGA;Prefeito;45;VANDER DOS SANTOS PINTO;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;119;GONZAGA;3127503.0
MG;IPABA;Prefeito;28;VANDER DE OLIVEIRA DANTAS;PRTB;PRTB;Não eleito;11;SUDESTE;150;IPABA;3131158.0
SP;BRAÚNA;Prefeito;15;VANDER ANTONIO GUERRERO BOSCO;MDB;MDB / PSD;Não eleito;11;SUDESTE;1092;BRAÚNA;3507704.0
MT;PRIMAVERA DO LESTE;Prefeito;44;ADEMIR ORTIZ DE GOES;UNIÃO;PP / PRD / PSB / UNIÃO / PSD / DC / MDB;Não eleito;11;CENTRO-OESTE;15175;PRIMAVERA DO LESTE;5107040.0
MT;CAMPO NOVO DO PARECIS;Prefeito;22;EDILSON ANTONIO PIAIA;PL;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / REPUBLICANOS / NOVO / PMB / DC / MDB / SOLIDARIEDADE;Eleito;11;CENTRO-OESTE;14123;CAMPO NOVO DO PARECIS;5102637.0
MS;SIDROLÂNDIA;Prefeito;11;VANDA CRISTINA CAMILO;PP;PODE / PP / PSB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO;Não eleito;11;CENTRO-OESTE;10206;SIDROLÂNDIA;5007901.0
PA;ANAPU;Prefeito;15;VANDA BEZERRA DA SILVA DOS SANTOS;MDB;MDB / PL / AVANTE / UNIÃO;Não eleito;11;NORTE;6938;ANAPU;1500859.0
SP;TABATINGA;Prefeito;55;VALTER VALENTIM CAMARGO;PSD;PRD / PP / PSD / SOLIDARIEDADE / DC;Eleito;11;SUDESTE;4490;TABATINGA;3552700.0
SP;PEREIRA BARRETO;Prefeito;20;VALTER PINHEIRO RIBEIRO;PODE;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE;Não eleito;11;SUDESTE;953;PEREIRA BARRETO;3537404.0
PR;TERRA BOA;Prefeito;55;VALTER PERES;PSD;PSD / PP / PSB / PDT / REPUBLICANOS / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;8586;TERRA BOA;4127205.0
SP;ITATIBA;Prefeito;13;VALTER LUIZ LARA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1472;ITATIBA;3523404.0
SP;COSMORAMA;Prefeito;22;VALTER GARDINI FILHO;PL;PL / PRD;Não eleito;11;SUDESTE;966;COSMORAMA;3512902.0
SP;TEJUPÁ;Prefeito;45;VALTER BORANELLI;PSDB;REPUBLICANOS / PL / PSD / SOLIDARIEDADE / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;1932;TEJUPÁ;
PR;PORTO RICO;Prefeito;22;VALTER BATISTA DOS SANTOS;PL;PL / PSD / UNIÃO;Eleito;11;SUL;1662;PORTO RICO;4120200.0
PR;SANTO ANTÔNIO DA PLATINA;Prefeito;13;VALTER ANTONIO PEREIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;1233;SANTO ANTÔNIO DA PLATINA;4124103.0
MG;ALVORADA DE MINAS;Prefeito;22;VALTER ANTÔNIO COSTA;PL;PL / PSD / UNIÃO;Não eleito;11;SUDESTE;1772;ALVORADA DE MINAS;3102407.0
SP;BRAÚNA;Prefeito;22;VALTER ANTONIO BOSCO;PL;PL / PODE;Não eleito;11;SUDESTE;1208;BRAÚNA;3507704.0
GO;MOZARLÂNDIA;Prefeito;20;VALTER ALEIXO;PODE;PODE / UNIÃO / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;2796;MOZARLÂNDIA;5214002.0
SP;DUMONT;Prefeito;20;VALTER AGOSTINHO;PODE;PODE;Não eleito;11;SUDESTE;494;DUMONT;3514601.0
GO;CEZARINA;Prefeito;44;VALTENIR GONÇALVES DA SILVA;UNIÃO;UNIÃO / MDB;Eleito;11;CENTRO-OESTE;4149;CEZARINA;5205455.0
GO;FAINA;Prefeito;77;VALTEMIR DA SILVA LIMA;SOLIDARIEDADE;PDT / UNIÃO / SOLIDARIEDADE;Não eleito;11;CENTRO-OESTE;2275;FAINA;5207535.0
RO;PIMENTA BUENO;Prefeito;44;VALTEIR DOMINGOS DA CRUZ;UNIÃO;REPUBLICANOS / PP / PL / PRD / AGIR / UNIÃO;Não eleito;11;NORTE;7333;PIMENTA BUENO;1100189.0
BA;CAETITÉ;Prefeito;12;VALTÉCIO NEVES AGUIAR;PDT;PDT / PSD / MDB / AVANTE / SOLIDARIEDADE;Eleito;11;NORDESTE;21835;CAETITÉ;
RO;BURITIS;Prefeito;22;VALTAIR FRITZ DOS REIS;PL;PL / PP / REPUBLICANOS;Eleito;11;NORTE;7261;BURITIS;1100452.0
SC;SANTA TEREZINHA;Prefeito;55;VALQUIRIA SCHWARZ;PSD;PSD;Eleito;11;SUL;2874;SANTA TEREZINHA;4215679.0
PR;JABOTI;Prefeito;11;VALQUIRIA DE FÁTIMA CURAN DE SIQUEIRA;PP;PP / MDB;Não eleito;11;SUL;1480;JABOTI;4111704.0
PR;BANDEIRANTES;Prefeito;25;VALQUIRIA APARECIDA BONACINI MARTINS;PRD;PRD / MDB;Não eleito;11;SUL;1905;BANDEIRANTES;4102406.0
MG;MALACACHETA;Prefeito;13;VALQUIMAR DE SOUZA DA CRUZ;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;57;MALACACHETA;3139201.0
BA;MARAGOGIPE;Prefeito;11;VALNICIO ARMEDE RIBEIRO;PP;PP / PODE / PL / AGIR / UNIÃO / AVANTE;Eleito;11;NORDESTE;17225;MARAGOGIPE;2920601.0
RO;MACHADINHO D'OESTE;Prefeito;12;VALNERIA CRISTO MOTA;PDT;PDT / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;NORTE;1371;MACHADINHO D'OESTE;1100130.0
SC;IPORÃ DO OESTE;Prefeito;11;VALMOR REIS;PP;PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSD;Não eleito;11;SUL;2683;IPORÃ DO OESTE;4207650.0
RS;IBARAMA;Prefeito;15;VALMOR NERI MATTANA;MDB;MDB;Eleito;11;SUL;1736;IBARAMA;4309753.0
RS;EREBANGO;Prefeito;15;VALMOR JOSÉ TOMELERO;MDB;MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / REPUBLICANOS / PP;Eleito;11;SUL;1109;EREBANGO;4306973.0
RS;VESPASIANO CORRÊA;Prefeito;11;VALMOR GASPERINI;PP;PP;Não eleito;11;SUL;837;VESPASIANO CORRÊA;4322855.0
PR;FLOR DA SERRA DO SUL;Prefeito;55;VALMOR FELIPE JUNIOR;PSD;PP / MDB / PL / UNIÃO / PSD;Eleito;11;SUL;2344;FLOR DA SERRA DO SUL;4107850.0
SC;GUABIRUBA;Prefeito;11;VALMIR ZIRKE;PP;PP / PSD;Eleito;11;SUL;7142;GUABIRUBA;4206306.0
MG;IGARATINGA;Prefeito;13;VALMIR TORRES CORREIA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;0;IGARATINGA;3130200.0
RJ;CONCEIÇÃO DE MACABU;Prefeito;23;VALMIR TAVARES LESSA;CIDADANIA;UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / SOLIDARIEDADE / PSB;Eleito;11;SUDESTE;8739;CONCEIÇÃO DE MACABU;3301405.0
MG;CARVALHOS;Prefeito;33;VALMIR SIQUEIRA DA SILVA;MOBILIZA;MOBILIZA / UNIÃO / PSD;Eleito;11;SUDESTE;2425;CARVALHOS;3114808.0
PR;TRÊS BARRAS DO PARANÁ;Prefeito;40;VALMIR SCHLICKMANN;PSB;PP / PDT / MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB;Não eleito;11;SUL;0;TRÊS BARRAS DO PARANÁ;
BA;FEIRA DA MATA;Prefeito;55;VALMIR MACEDO RODRIGUES;PSD;PSD;Eleito;11;NORDESTE;3001;FEIRA DA MATA;2910776.0
RS;TAQUARUÇU DO SUL;Prefeito;45;VALMIR LUIZ MENEGAT;PSDB;REPUBLICANOS / PP / MDB / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;1235;TAQUARUÇU DO SUL;4321329.0
MS;ITAQUIRAÍ;Prefeito;13;VALMIR LOPES DE SOUZA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;2218;ITAQUIRAÍ;
MG;SENADOR MODESTINO GONÇALVES;Prefeito;22;VALMIR JOSÉ GUIMARÃES;PL;PL / PODE;Não eleito;11;SUDESTE;1172;SENADOR MODESTINO GONÇALVES;3165909.0
SC;CATANDUVAS;Prefeito;20;VALMIR JOAO ZANIN;PODE;PODE;Não eleito;11;SUL;1405;CATANDUVAS;4204004.0
MG;LARANJAL;Prefeito;33;VALMIR GARCIA MENDES;MOBILIZA;PDT / MOBILIZA / UNIÃO / PSB;Não eleito;11;SUDESTE;2235;LARANJAL;3138005.0
BA;GUANAMBI;Prefeito;35;VALMIR EMIDIO OLIVEIRA;PMB;PMB;Não eleito;11;NORDESTE;756;GUANAMBI;2911709.0
