sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
PI;SÃO FRANCISCO DE ASSIS DO PIAUÍ;Prefeito;13;ELIÉSIO ELISIO DOS REIS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1853;SÃO FRANCISCO DE ASSIS DO PIAUÍ;
ES;VARGEM ALTA;Prefeito;15;ELIESER RABELLO;MDB;MDB / PSB / PODE / PDT;Eleito;11;SUDESTE;7622;VARGEM ALTA;3205036.0
PR;SANTA AMÉLIA;Prefeito;15;ELIESER NAÃ RAMOS DE SOUZA;MDB;MDB;Não eleito;11;SUL;435;SANTA AMÉLIA;4123105.0
BA;GUAJERU;Prefeito;11;ELIENE ROCHA RODRIGUES VIANA;PP;PP;Não eleito;11;NORDESTE;817;GUAJERU;2911659.0
MA;MORROS;Prefeito;45;ELIENE ROCHA PESTANA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / REPUBLICANOS;Não eleito;11;NORDESTE;843;MORROS;2107100.0
MG;FRUTA DE LEITE;Prefeito;15;ELIENE MIRANDA JARDIM MARTINS;MDB;MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1804;FRUTA DE LEITE;3127073.0
CE;GENERAL SAMPAIO;Prefeito;40;ELIENE LEITE ARAUJO BRASILEIRO;PSB;PODE / PSB / UNIÃO;Não eleito;11;NORDESTE;3333;GENERAL SAMPAIO;2304608.0
TO;SANTA TEREZA DO TOCANTINS;Prefeito;10;ELIENE BATISTA DIOGENES LOURENÇO;REPUBLICANOS;REPUBLICANOS / PRD;Eleito;11;NORTE;1409;SANTA TEREZA DO TOCANTINS;1719004.0
AP;PORTO GRANDE;Prefeito;15;ELIELSON DA SILVA MORAES;MDB;MDB / PODE / REPUBLICANOS;Eleito;11;NORTE;6136;PORTO GRANDE;1600535.0
PA;ANANINDEUA;Prefeito;44;ELIEL PEREIRA FAUSTINO FILHO;UNIÃO;UNIÃO;Não eleito;11;NORTE;3413;ANANINDEUA;1500800.0
SP;SANTA BÁRBARA D'OESTE;Prefeito;55;ELIEL MIRANDA;PSD;PSD;Não eleito;11;SUDESTE;5463;SANTA BÁRBARA D'OESTE;3545803.0
PR;SÃO TOMÉ;Prefeito;15;ELIEL HERNANDES ROQUE;MDB;REPUBLICANOS / MDB / PP;Não eleito;11;SUL;0;SÃO TOMÉ;
BA;TANQUINHO;Prefeito;12;ELIEL FERREIRA DE JESUS;PDT;PDT;Não eleito;11;NORDESTE;73;TANQUINHO;2931103.0
PR;DIAMANTE DO NORTE;Prefeito;55;ELIEL DOS SANTOS CORREA;PSD;PSD / PP;Eleito;11;SUL;2028;DIAMANTE DO NORTE;4107108.0
RN;JARDIM DE PIRANHAS;Prefeito;45;ELÍDIO ARAUJO DE QUEIROZ;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / UNIÃO / PP;Não eleito;11;NORDESTE;4656;JARDIM DE PIRANHAS;2405603.0
PA;CONCEIÇÃO DO ARAGUAIA;Prefeito;15;ELIDA ELENA MOREIRA;MDB;MDB / PODE / PSD / PL / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORTE;12783;CONCEIÇÃO DO ARAGUAIA;1502707.0
SP;NATIVIDADE DA SERRA;Prefeito;36;ELIAS TEIXEIRA;AGIR;AGIR;Não eleito;11;SUDESTE;0;NATIVIDADE DA SERRA;3532306.0
SC;NAVEGANTES;Prefeito;40;ELIAS SOARES PINHEIRO JUNIOR;PSB;PSB;Não eleito;11;SUL;362;NAVEGANTES;4211306.0
MG;SANTA MARIA DO SUAÇUÍ;Prefeito;44;ELIAS SILVEIRA GODINHO;UNIÃO;REPUBLICANOS / PDT / MDB / MOBILIZA / UNIÃO / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;4497;SANTA MARIA DO SUAÇUÍ;
PR;DOUTOR ULYSSES;Prefeito;13;ELIAS RODRIGUES DOS SANTOS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;43;DOUTOR ULYSSES;4128633.0
SP;SÃO MIGUEL ARCANJO;Prefeito;11;ELIAS RODRIGUES DE PAULA;PP;PP / REPUBLICANOS / MDB / AVANTE / PODE;Eleito;11;SUDESTE;8306;SÃO MIGUEL ARCANJO;3550209.0
PR;ALTO PIQUIRI;Prefeito;44;ELIAS PEREIRA DA SILVA;UNIÃO;PP / DC / UNIÃO;Não eleito;11;SUL;0;ALTO PIQUIRI;4100707.0
MG;ITAPECERICA;Prefeito;18;ELIAS PEDROSA TUFY;REDE;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;173;ITAPECERICA;3133501.0
MG;NEPOMUCENO;Prefeito;45;ELIAS NATAL LIMA DE MENEZES;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE / MOBILIZA / PRTB;Eleito;11;SUDESTE;6511;NEPOMUCENO;3144607.0
RS;TRINDADE DO SUL;Prefeito;13;ELIAS MIGUEL SEGALLA;PT;MDB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;2374;TRINDADE DO SUL;4321956.0
AL;JOAQUIM GOMES;Prefeito;40;ELIAS JOSE DA SILVA;PSB;PL / PSB;Não eleito;11;NORDESTE;5172;JOAQUIM GOMES;2703809.0
PR;PORTO AMAZONAS;Prefeito;55;ELIAS JOCID GOMES DA COSTA;PSD;PP / UNIÃO / PSD;Eleito;11;SUL;2209;PORTO AMAZONAS;4120101.0
PE;JABOATÃO DOS GUARARAPES;Prefeito;13;ELIAS GOMES DA SILVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / REPUBLICANOS / MDB / PSB / SOLIDARIEDADE / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;59508;JABOATÃO DOS GUARARAPES;2607901.0
SP;MOCOCA;Prefeito;45;ELIAS DE SISTO;PSDB;PDT / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;264;MOCOCA;3530508.0
BA;POTIRAGUÁ;Prefeito;70;ELIAS DE CARVALHO FILHO;AVANTE;PODE / PMB / AGIR / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3368;POTIRAGUÁ;
ES;ECOPORANGA;Prefeito;10;ELIAS DA SILVA RUFINO;REPUBLICANOS;REPUBLICANOS / PSD;Não eleito;11;SUDESTE;3043;ECOPORANGA;3202108.0
MS;RIBAS DO RIO PARDO;Prefeito;12;ELIAS DA SILVA COUTO;PDT;PDT;Não eleito;11;CENTRO-OESTE;287;RIBAS DO RIO PARDO;5007109.0
RR;SÃO LUIZ;Prefeito;11;ELIAS BESCHORNER DA SILVA;PP;REPUBLICANOS / PP / PL;Eleito;11;NORTE;3064;SÃO LUIZ;1400605.0
PE;POMBOS;Prefeito;15;ELIAS BATISTA DE LIMA;MDB;MDB / UNIÃO;Eleito;11;NORDESTE;7316;POMBOS;2611309.0
MG;AGUANIL;Prefeito;45;ELIAS ASSAD ABRÃO;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;1377;AGUANIL;3100807.0
RS;ENTRE RIOS DO SUL;Prefeito;11;ELIANE TERESINHA MAGNABOSCO PEDOTT;PP;PP / MDB;Não eleito;11;SUL;1127;ENTRE RIOS DO SUL;4306957.0
PB;POCINHOS;Prefeito;10;ELIANE MOURA DOS SANTOS GALDINO;REPUBLICANOS;PSB / UNIÃO / REPUBLICANOS;Eleito;11;NORDESTE;9678;POCINHOS;2512002.0
SC;FREI ROGÉRIO;Prefeito;44;ELIANE MAXIMIANO MAZZUCO;UNIÃO;UNIÃO / PP;Não eleito;11;SUL;846;FREI ROGÉRIO;4205555.0
