sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
SP;NOVA ODESSA;Prefeito;43;TIAGO LOBO;PV;PV / PSB;Não eleito;SUDESTE;2596
SP;NOVA ODESSA;Prefeito;45;JOSÉ LOURENÇO JORGE ALVARENGA;PSDB;PSDB / PODE / PROS / DEM / PSC;Não eleito;SUDESTE;10192
SP;NOVA ODESSA;Prefeito;55;CLAUDIO JOSE SCHOODER;PSD;PTB / PMN / PSD;Eleito;SUDESTE;12071
SP;NOVA ODESSA;Prefeito;70;JACKSON GIOVANI CANDIAN;AVANTE;AVANTE;Não eleito;SUDESTE;4422
SP;NOVAIS;Prefeito;10;FABIO DONIZETE DA SILVA;REPUBLICANOS;REPUBLICANOS / PL;Não eleito;SUDESTE;1205
SP;NOVAIS;Prefeito;14;PAULO CESAR DIAS PINHEIRO;PTB;PTB / DEM / PSDB;Eleito;SUDESTE;1207
SP;NOVAIS;Prefeito;19;EZEQUIEL CORREA DE ARAUJO;PODE;PODE;Não eleito;SUDESTE;311
SP;NOVAIS;Prefeito;55;SIDNEI EVANGELISTA MANDELLI;PSD;PSD;Não eleito;SUDESTE;107
SP;NOVO HORIZONTE;Prefeito;19;ADEMAR ROSA;PODE;PODE;Não eleito;SUDESTE;785
SP;NOVO HORIZONTE;Prefeito;22;FABIANO DE MELLO BELENTANI;PL;PL / PATRIOTA / PSL / MDB / PSC;Eleito;SUDESTE;13522
SP;NOVO HORIZONTE;Prefeito;45;CLEBER DA ROSA MOREIRA;PSDB;PSDB / REPUBLICANOS / PT;Não eleito;SUDESTE;5408
SP;NUPORANGA;Prefeito;15;GABRIEL MELO DE SOUZA;MDB;MDB;Não eleito;SUDESTE;1216
SP;NUPORANGA;Prefeito;19;SANDRO ROBERTO DE OLIVEIRA;PODE;PODE;Não eleito;SUDESTE;1306
SP;NUPORANGA;Prefeito;45;DANIEL VIANA MELO;PSDB;DEM / PSD / PSDB / SOLIDARIEDADE;Eleito;SUDESTE;2188
SP;OCAUÇU;Prefeito;23;VANDINALDO PEREIRA DA SILVA;CIDADANIA;PTB / CIDADANIA;Não eleito;SUDESTE;272
SP;OCAUÇU;Prefeito;40;JOÃO BENEDITO COSTA E SILVA;PSB;PSB;Eleito;SUDESTE;935
SP;OCAUÇU;Prefeito;43;DEVANIR JACOMINI;PV;PV;Não eleito;SUDESTE;559
SP;OCAUÇU;Prefeito;45;LUIS FELIPE DE LIMA COSTA E SILVA;PSDB;PSDB;Não eleito;SUDESTE;840
SP;OLÍMPIA;Prefeito;11;FLÁVIO AUGUSTO OLMOS;PP;PP / PSL / PTB / SOLIDARIEDADE;Não eleito;SUDESTE;9461
SP;OLÍMPIA;Prefeito;13;WILLIAN ANTONIO ZANOLLI;PT;PT;Não eleito;SUDESTE;324
SP;OLÍMPIA;Prefeito;45;LUIZ GUSTAVO PIMENTA;PSDB;PSDB;Não eleito;SUDESTE;1496
SP;OLÍMPIA;Prefeito;55;FERNANDO AUGUSTO CUNHA;PSD;MDB / PODE / DEM / PSD;Eleito;SUDESTE;16460
SP;ONDA VERDE;Prefeito;11;FABRICIO PIRES DE CARVALHO;PP;PP / PSL;Eleito;SUDESTE;2232
SP;ONDA VERDE;Prefeito;15;SILENE PEREIRA DA SILVA;MDB;MDB;Não eleito;SUDESTE;91
SP;ONDA VERDE;Prefeito;45;JOÃO BATISTA ALVES;PSDB;DEM / PSDB;Não eleito;SUDESTE;870
SP;ORIENTE;Prefeito;12;GERALDO MATHEUS MORIS;PDT;PDT / DEM / PSD / PV;Eleito;SUDESTE;2120
SP;ORIENTE;Prefeito;77;MONICA SOARES DE OLIVEIRA RAYMUNDI;SOLIDARIEDADE;SOLIDARIEDADE / PSDB;Não eleito;SUDESTE;1833
SP;ORINDIÚVA;Prefeito;25;GRISOLINO CASSIA BORGES JUNIOR;DEM;PODE / MDB / DEM / PSD;Não eleito;SUDESTE;2004
SP;ORINDIÚVA;Prefeito;45;MIRELI CRISTINA LEITE RUVIÉRI MARTINS;PSDB;PP / PT / PSDB;Eleito;SUDESTE;2188
SP;ORLÂNDIA;Prefeito;15;SERGIO AUGUSTO BORDIN JUNIOR;MDB;MDB;Eleito;SUDESTE;9868
SP;ORLÂNDIA;Prefeito;17;NESTOR VALLIN;PSL;PSL;Não eleito;SUDESTE;585
SP;ORLÂNDIA;Prefeito;25;FLÁVIA MENDES GOMES;DEM;REPUBLICANOS / PL / CIDADANIA / PODE / DEM / PSB / PSD;Não eleito;SUDESTE;8192
SP;OSASCO;Prefeito;10;ELISSANDRO MARCIO SILVA LINDOSO;REPUBLICANOS;REPUBLICANOS / PSC / PSL / PMN;Não eleito;SUDESTE;66543
SP;OSASCO;Prefeito;13;EMIDIO PEREIRA DE SOUZA;PT;PTB / PT / PV;Não eleito;SUDESTE;44849
SP;OSASCO;Prefeito;19;ROGERIO LINS WANDERLEY;PODE;PTC / PSB / PSDB / PSD / PC do B / AVANTE / PP / REDE / PODE / PATRIOTA / PDT / DEM / MDB / PL / CIDADANIA;Eleito;SUDESTE;204207
SP;OSASCO;Prefeito;50;SIMONY CRISTINA TEIXEIRA DOS ANJOS;PSOL;PSOL;Não eleito;SUDESTE;15202
SP;OSCAR BRESSANE;Prefeito;45;FABIANA XAVIER GIROTO;PSDB;PSDB;Não eleito;SUDESTE;729
SP;OSCAR BRESSANE;Prefeito;55;LUIZ ANTONIO ROMANO;PSD;PSL / PTB / DEM / PSD;Eleito;SUDESTE;1359
SP;OSVALDO CRUZ;Prefeito;11;VERA LUCIA ALVES;PP;DEM / PODE / CIDADANIA / PP / SOLIDARIEDADE / PTB;Eleito;SUDESTE;6047
SP;OSVALDO CRUZ;Prefeito;43;LUIZ ANTONIO GUMIERO;PV;PSDB / PSB / PSD / MDB / PDT / PV / PROS / PL;Não eleito;SUDESTE;4849
SP;OSVALDO CRUZ;Prefeito;51;MARCELO ALMIR BRUMATTI;PATRIOTA;PATRIOTA;Não eleito;SUDESTE;4245
SP;OURINHOS;Prefeito;51;ROBSON SANCHES DA SILVA;PATRIOTA;PATRIOTA / PSL / PODE / PRTB / PL / PSDB / SOLIDARIEDADE / REPUBLICANOS / PTB;Não eleito;SUDESTE;18137
SP;OURINHOS;Prefeito;55;LUCAS POCAY ALVES DA SILVA;PSD;MDB / DEM / PSD / PP;Eleito;SUDESTE;34670
SP;OURO VERDE;Prefeito;45;MANOEL JOSÉ VIEIRA FILHO;PSDB;PSDB;Não eleito;SUDESTE;925
SP;OURO VERDE;Prefeito;51;CLAUDINEI DOS SANTOS;PATRIOTA;SOLIDARIEDADE / PSB / PATRIOTA;Eleito;SUDESTE;2231
SP;OURO VERDE;Prefeito;55;JÚLIO CESAR DE MORI VECCHIATI;PSD;PSD / DEM / PV;Não eleito;SUDESTE;1478
SP;OUROESTE;Prefeito;11;ALEX GARCIA SAKATA;PP;PSD / PP;Eleito;SUDESTE;4175
SP;OUROESTE;Prefeito;45;SAINT CLAIR HATAYAMA;PSDB;PSDB;Não eleito;SUDESTE;1177
SP;PACAEMBU;Prefeito;22;JOAO FRANCISCO MUGNAI NEVES;PL;PL / MDB / DEM;Eleito;SUDESTE;2610
