sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
PE;RECIFE;Prefeito;40;JOAO HENRIQUE DE ANDRADE LIMA CAMPOS;PSB;MDB / REDE / PC do B / SOLIDARIEDADE / PROS / PV / AVANTE / REPUBLICANOS / PP / PDT / PSD / PSB;2;Eleito;NORDESTE;447913
PI;TERESINA;Prefeito;15;JOSÉ PESSOA LEAL;MDB;PRTB / MDB / PSB;2;Eleito;NORDESTE;236339
PI;TERESINA;Prefeito;45;KLEBER MONTEZUMA FAGUNDES DOS SANTOS;PSDB;PSDB / PP / PSL / AVANTE / PDT / DEM / PMB / PV / PODE;2;Não eleito;NORDESTE;142941
PR;PONTA GROSSA;Prefeito;20;MABEL CORÁ CANTO;PSC;PODE / PSC / PSB / CIDADANIA / PDT / PP;2;Não eleito;SUL;79929
PR;PONTA GROSSA;Prefeito;55;ELIZABETH SILVEIRA SCHMIDT;PSD;PV / AVANTE / PSDB / PSD;2;Eleito;SUL;87932
RJ;CAMPOS DOS GOYTACAZES;Prefeito;12;CAIO SANTOS VIANNA;PDT;PDT / PL / PSL / DC / PATRIOTA;2;Não eleito;SUDESTE;110094
RJ;CAMPOS DOS GOYTACAZES;Prefeito;55;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;PSD;PRTB / PP / MDB / PSD / PROS / PODE / PSC;2;Eleito;SUDESTE;121174
RJ;PETRÓPOLIS;Prefeito;22;BERNARDO CHIM ROSSI;PL;PL / PTB / DEM / MDB / DC;2;Não eleito;SUDESTE;52727
RJ;PETRÓPOLIS;Prefeito;40;RUBENS JOSÉ FRANÇA BOMTEMPO;PSB;PSB / SOLIDARIEDADE / PROS;2;Eleito;SUDESTE;64907
RJ;RIO DE JANEIRO;Prefeito;10;MARCELO BEZERRA CRIVELLA;REPUBLICANOS;PODE / PTC / PMN / PRTB / REPUBLICANOS / PP / PATRIOTA / SOLIDARIEDADE;2;Não eleito;SUDESTE;913700
