sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
SP;ITATINGA;Prefeito;55;ALINE FERNANDA SANTIAGO ARAUJO;PSD;REPUBLICANOS / PSD / PODE;Não eleito;11;SUDESTE;3986
SE;POÇO REDONDO;Prefeito;10;ALINE DOS SANTOS VASCONCELOS;REPUBLICANOS;REPUBLICANOS / PSD;Não eleito;11;NORDESTE;7928
PE;AMARAJI;Prefeito;40;ALINE DE ANDRADE GOUVEIA;PSB;PSB / REPUBLICANOS;Não eleito;11;NORDESTE;6865
SC;MAJOR VIEIRA;Prefeito;55;ALINE DAIANE RUTHES IARENHUK DA SILVA;PSD;PSD / PODE / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;1863
MS;ANASTÁCIO;Prefeito;20;ALINE DA SILVA CAUNETO;PODE;PODE;Não eleito;11;CENTRO-OESTE;3820
PA;NOVA TIMBOTEUA;Prefeito;11;ALINE COSTA DA SILVA;PP;PP / PDT / AGIR / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORTE;5529
BA;MAETINGA;Prefeito;55;ALINE COSTA AGUIAR SILVEIRA;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;2250
RS;ARROIO DO PADRE;Prefeito;22;ALINE CHIESA GONÇALVES;PL;PL;Não eleito;11;SUL;297
PB;BELÉM;Prefeito;15;ALINE BARBOSA DE LIMA;MDB;SOLIDARIEDADE / PSD / PODE / MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;6091
PE;BETÂNIA;Prefeito;10;ALINE ARAUJO DA SILVA SA;REPUBLICANOS;REPUBLICANOS / MDB;Não eleito;11;NORDESTE;3986
PB;PATOS;Prefeito;80;ALINE ANA LEITE DE OLIVEIRA;UP;UP;Não eleito;11;NORDESTE;492
CE;MASSAPÊ;Prefeito;10;ALINE AGUIAR ALBUQUERQUE;REPUBLICANOS;REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / SOLIDARIEDADE / PSB;Não eleito;11;NORDESTE;13612
PR;PONTA GROSSA;Prefeito;43;ALIEL MACHADO BARK;PV;PDT / PSB / Federação PSOL REDE (PSOL / REDE) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;35948
RS;SANTA MARIA;Prefeito;50;ALIDIO DA LUZ SILVA;PSOL;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUL;905
SC;CAMPO ALEGRE;Prefeito;15;ALICE BAYERL GROSSKOPF;MDB;MDB / PL;Não eleito;11;SUL;3442
RN;MONTANHAS;Prefeito;55;ALGACIR ANTONIO DE LIMA JANUARIO;PSD;REPUBLICANOS / MDB / PSB / UNIÃO / PSD;Não eleito;11;NORDESTE;3771
PB;CATOLÉ DO ROCHA;Prefeito;40;ALFREDO VERAS MAIA DE VASCONCELOS;PSB;PSB;Não eleito;11;NORDESTE;2334
RJ;ITAPERUNA;Prefeito;44;ALFREDO PAULO MARQUES RODRIGUES;UNIÃO;PSD / PSB / PRD / MOBILIZA / DC / AVANTE / PP / UNIÃO;Não eleito;11;SUDESTE;18755
MG;PARAISÓPOLIS;Prefeito;13;ALFREDO FARIA LOPES DE PAIVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;788
SP;TABATINGA;Prefeito;22;ALFREDO DOS SANTOS;PL;REPUBLICANOS / MDB / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / UNIÃO;Não eleito;11;SUDESTE;4109
BA;SÍTIO DO MATO;Prefeito;44;ALFREDO DE OLIVEIRA MAGALHÃES JUNIOR;UNIÃO;REPUBLICANOS / UNIÃO / MDB / AVANTE;Eleito;11;NORDESTE;4441
BA;ITAPETINGA;Prefeito;33;ALFREDO CABRAL DE ASSIS;MOBILIZA;MOBILIZA;Não eleito;11;NORDESTE;592
PR;ALMIRANTE TAMANDARÉ;Prefeito;50;ALFREDO BURZYNSKI;PSOL;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUL;677
PA;CANAÃ DOS CARAJÁS;Prefeito;25;ALEXSANDRO SANTOS DE SOUSA;PRD;PRD;Não eleito;11;NORTE;350
BA;SÃO GONÇALO DOS CAMPOS;Prefeito;20;ALEXSANDRO RIBEIRO MARQUES;PODE;PODE / AGIR;Não eleito;11;NORDESTE;58
TO;BARRA DO OURO;Prefeito;55;ALEXSANDRO NOGUEIRA LIMA;PSD;PSD;Não eleito;11;NORTE;885
SE;CAMPO DO BRITO;Prefeito;13;ALEXSANDRO MENEZES DA ROCHA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / MDB;Não eleito;11;NORDESTE;0
MG;SANTA RITA DE JACUTINGA;Prefeito;11;ALEXSANDRO LANDIM NOGUEIRA;PP;PP / AVANTE;Não eleito;11;SUDESTE;1592
RO;CHUPINGUAIA;Prefeito;44;ALEXSANDRO GERVASIO MACHADO;UNIÃO;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO;Não eleito;11;NORTE;199
BA;IBIRATAIA;Prefeito;15;ALEXSANDRO FREITAS SILVA;MDB;MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / AGIR / PSD / SOLIDARIEDADE / PODE;Eleito;11;NORDESTE;6081
MG;ALMENARA;Prefeito;15;ALEXSANDRO FERREIRA SOUZA;MDB;MDB;Não eleito;11;SUDESTE;66
RJ;TERESÓPOLIS;Prefeito;22;ALEXSANDRO DA SILVA COSTA;PL;REPUBLICANOS / PL / NOVO / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD;Não eleito;11;SUDESTE;12114
SP;BROTAS;Prefeito;20;ALEXSANDRA BERTO BRANDÃO;PODE;PODE / PRD;Eleito;11;SUDESTE;6363
SP;JAGUARIÚNA;Prefeito;40;ALEXSANDER AMARAL RIBEIRO;PSB;PSB;Não eleito;11;SUDESTE;1264
BA;COCOS;Prefeito;25;ALEXNALDO CORREIA MOREIRA;PRD;PRD / UNIÃO;Não eleito;11;NORDESTE;5721
BA;ITANHÉM;Prefeito;13;ALEXANDRO SILVA CHAVES;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;183
SC;RIO DO CAMPO;Prefeito;15;ALEXANDRO LOSI;MDB;MDB / PL;Não eleito;11;SUL;2250
PB;UIRAÚNA;Prefeito;12;ALEXANDRO FREITAS DE FIGUEIREDO;PDT;PDT / SOLIDARIEDADE;Não eleito;11;NORDESTE;2204
MT;PEDRA PRETA;Prefeito;13;PAULO CEZAR DE ABREU;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;183
ES;ALTO RIO NOVO;Prefeito;55;ALEXANDRO DE MELO VALIM;PSD;PSD;Eleito;11;SUDESTE;3527
MG;PIRAPORA;Prefeito;44;ALEXANDRO COSTA CESAR;UNIÃO;REPUBLICANOS / PP / PDT / PODE / PRD / MOBILIZA / AGIR / PSB / UNIÃO / AVANTE / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;22825
MG;DORES DO INDAIÁ;Prefeito;55;ALEXANDRO COÊLHO FERREIRA;PSD;PP / PDT / NOVO / UNIÃO / PSD / AVANTE / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;5683
AP;FERREIRA GOMES;Prefeito;44;ALEXANDRO BRAZÃO FERREIRA;UNIÃO;PP / PDT / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / UNIÃO;Eleito;11;NORTE;2815
RN;GALINHOS;Prefeito;15;ALEXANDRE WENDEL DE LIMA RIBEIRO;MDB;MDB;Não eleito;11;NORDESTE;584
PE;BOM CONSELHO;Prefeito;12;ALEXANDRE WANDERLEY DE CARVALHO;PDT;PDT;Não eleito;11;NORDESTE;267
RJ;ITAGUAÍ;Prefeito;22;ALEXANDRE VALLE CARDOSO;PL;PL;Não eleito;11;SUDESTE;7556
RJ;PORCIÚNCULA;Prefeito;23;ALEXANDRE TOSHIAKI IWATA;CIDADANIA;UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;210
GO;CATURAÍ;Prefeito;44;ALEXANDRE TIAGO MOURA;UNIÃO;PP / SOLIDARIEDADE / REPUBLICANOS / MDB / PL / PSD / UNIÃO;Eleito;11;CENTRO-OESTE;2952
SP;FRANCA;Prefeito;30;ALEXANDRE TABAH;NOVO;NOVO;Não eleito;11;SUDESTE;1348
SP;TANABI;Prefeito;40;ALEXANDRE SILVEIRA BERTOLINI;PSB;REPUBLICANOS / PP / MDB / PODE / PRD / PMB / PSB / UNIÃO / SOLIDARIEDADE;Eleito;11;SUDESTE;12930
RJ;RESENDE;Prefeito;11;ALEXANDRE SERGIO ALVES VIEIRA;PP;PP / MDB / AVANTE / AGIR / PODE / PL / UNIÃO / NOVO;Eleito;11;SUDESTE;44947
RN;CAICÓ;Prefeito;22;ALEXANDRE SEGUNDO DA SILVA CAVALCANTE;PL;PL;Não eleito;11;NORDESTE;1952
SC;RIQUEZA;Prefeito;22;ALEXANDRE SCHENATTO;PL;PP / PL / PSD;Não eleito;11;SUL;1733
MT;SÃO JOSÉ DO XINGU;Prefeito;22;VANDERLEY SOARES DA SILVA;PL;PL;Não eleito;11;CENTRO-OESTE;179
