sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
BA;SANTA INÊS;Prefeito;13;SANDRO SANTOS SILVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / AVANTE / PSB / PSD;Eleito;11;NORDESTE;4343
BA;JIQUIRIÇÁ;Prefeito;13;SANDRO RONALDO DA CRUZ;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PP / PDT;Não eleito;11;NORDESTE;895
RS;ITAARA;Prefeito;13;SANDRO ROBERTO GALARÇA FERIGOLLO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB;Eleito;11;SUL;1209
MG;BURITIZEIRO;Prefeito;43;SANDRO PAULO RAMOS FLORES GOMES;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;811
SC;BELA VISTA DO TOLDO;Prefeito;10;SANDRO MIELKE;REPUBLICANOS;REPUBLICANOS / PL;Não eleito;11;SUL;653
RO;CANDEIAS DO JAMARI;Prefeito;11;SANDRO LUIZ ALVES DE MOURA;PP;PP;Não eleito;11;NORTE;453
MG;GOVERNADOR VALADARES;Prefeito;22;SANDRO LUCIO FONSECA;PL;PL / PRTB / PMB;Eleito;11;SUDESTE;69694
MT;POXORÉU;Prefeito;10;LUCIANO HUDSON SOL DA COSTA;REPUBLICANOS;REPUBLICANOS / PSD / MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;CENTRO-OESTE;7006
CE;GUAIÚBA;Prefeito;55;SANDRO HENRIQUE COSTA MENEZES;PSD;MOBILIZA / AGIR / PSD;Não eleito;11;NORDESTE;3259
MG;SANTA RITA DE JACUTINGA;Prefeito;45;SANDRO HELENO LACERDA FATIGATTI;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;264
SC;MARAVILHA;Prefeito;15;SANDRO DONATI;MDB;MDB / PL;Não eleito;11;SUL;7044
SE;CRISTINÁPOLIS;Prefeito;13;SANDRO DE JESUS DOS SANTOS;PT;PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;6941
GO;GOIÂNIA;Prefeito;44;SANDRO DA MABEL ANTÔNIO SCODRO;UNIÃO;PP / UNIÃO / MDB / PODE / AVANTE / AGIR / PRD / REPUBLICANOS;2º turno;11;CENTRO-OESTE;190278
PE;CHÃ GRANDE;Prefeito;70;SANDRO CORREA DOS SANTOS;AVANTE;PL / PRD / AVANTE / SOLIDARIEDADE;Eleito;11;NORDESTE;9640
BA;ITUBERÁ;Prefeito;22;SANDRO CATUSSO;PL;PL / MOBILIZA;Não eleito;11;NORDESTE;375
GO;ALEXÂNIA;Prefeito;35;SANDRO BOTELHO;PMB;PMB;Não eleito;11;CENTRO-OESTE;72
GO;NIQUELÂNDIA;Prefeito;15;SANDRO BERNARDES ROCHA ARAUJO;MDB;REPUBLICANOS / MDB / PSB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;CENTRO-OESTE;5363
MS;AQUIDAUANA;Prefeito;70;SANDRO APARECIDO AZAMBUJA DE FREITAS;AVANTE;AVANTE;Não eleito;11;CENTRO-OESTE;9448
SC;PALMEIRA;Prefeito;22;SANDRO ALEX MASSELAI;PL;PL;Eleito;11;SUL;1549
PB;BREJO DOS SANTOS;Prefeito;44;SANDRO ADRIANO SOUSA DOS SANTOS;UNIÃO;REPUBLICANOS / UNIÃO / PDT;Não eleito;11;NORDESTE;2568
MG;INHAPIM;Prefeito;15;SANDRO ADRIANO OLIVEIRA SILVA;MDB;PP / MDB / UNIÃO;Eleito;11;SUDESTE;10131
TO;CACHOEIRINHA;Prefeito;44;SANDRIMAR ALVES DA SILVA;UNIÃO;UNIÃO / MDB;Eleito;11;NORTE;1251
SP;ITIRAPINA;Prefeito;13;SANDRA VALERIA RODRIGUES DE OLIVEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;81
PE;CANHOTINHO;Prefeito;10;SANDRA REJANE LOPES DE BARROS;REPUBLICANOS;REPUBLICANOS / PODE / MDB / PSB;Eleito;11;NORDESTE;10548
MT;COLÍDER;Prefeito;25;RODRIGO LUIZ BENASSI;PRD;PRD;Eleito;11;CENTRO-OESTE;6951
PE;CARPINA;Prefeito;80;SANDRA MARIA RAMOS FLORENTINO FRANÇA;UP;UP;Não eleito;11;NORDESTE;122
MG;IBIAÍ;Prefeito;70;SANDRA MARIA FONSECA CARDOSO;AVANTE;AVANTE / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2596
GO;CAIAPÔNIA;Prefeito;22;SANDRA LOBATO SILVA;PL;PL / AGIR / PSB / PRD / AVANTE;Não eleito;11;CENTRO-OESTE;2551
SP;REGISTRO;Prefeito;13;SANDRA KENNEDY VIANA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;0
RN;CAICÓ;Prefeito;77;SANDRA KELLY DE ARAÚJO;SOLIDARIEDADE;SOLIDARIEDADE / REPUBLICANOS / PSB / UNIÃO;Não eleito;11;NORDESTE;6988
RS;ENTRE-IJUÍS;Prefeito;22;SANDRA CLENIR FRÓES NICOLETTI;PL;PL;Não eleito;11;SUL;445
RJ;SÃO PEDRO DA ALDEIA;Prefeito;50;SANDRA AUTUORI;PSOL;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;505
PB;SÃO JOSÉ DE PIRANHAS;Prefeito;40;SANDOVAL VIEIRA LINS;PSB;PSB / REPUBLICANOS / PL / Federação PSOL REDE (PSOL / REDE);Eleito;11;NORDESTE;8830
MT;COLÍDER;Prefeito;44;HEMERSON LOURENÇO MAXIMO;UNIÃO;UNIÃO / MDB / NOVO;Não eleito;11;CENTRO-OESTE;6774
MG;SÃO JOÃO DA PONTE;Prefeito;22;SANDER PATRICIO ALVES CARDOSO;PL;PL;Não eleito;11;SUDESTE;90
SC;JACINTO MACHADO;Prefeito;15;SANDER JUST;MDB;PP / MDB / PODE / UNIÃO / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;5112
PI;CRISTALÂNDIA DO PIAUÍ;Prefeito;13;SANDALO VAGNER NOGUEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;2158
MG;LEANDRO FERREIRA;Prefeito;10;SAMUEL VITOR MARTINS;REPUBLICANOS;REPUBLICANOS;Não eleito;11;SUDESTE;85
SP;JUQUIÁ;Prefeito;77;SAMUEL TEOFILO DE VASCONCELOS FILHO;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;11;SUDESTE;194
PR;PITANGUEIRAS;Prefeito;22;SAMUEL TEIXEIRA;PL;PL / PSD / PP;Eleito;11;SUL;1963
PB;CONCEIÇÃO;Prefeito;77;SAMUEL SOARES LAVOR DE LACERDA;SOLIDARIEDADE;PP / PSD / AVANTE / SOLIDARIEDADE;Eleito;11;NORDESTE;6095
RJ;CARMO;Prefeito;55;SAMUEL SOARES DE LIMA;PSD;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD / UNIÃO;Eleito;11;SUDESTE;6495
PR;GUARAPUAVA;Prefeito;44;SAMUEL RIBAS DE ABREU;UNIÃO;UNIÃO;Não eleito;11;SUL;1449
CE;JAGUARUANA;Prefeito;40;SAMUEL QUIRINO DA SILVA;PSB;PSB / PDT / PODE;Não eleito;11;NORDESTE;8022
RN;OURO BRANCO;Prefeito;22;SAMUEL OLIVEIRA DE SOUTO;PL;PP / PL;Eleito;11;NORDESTE;2375
BA;MARACÁS;Prefeito;22;SAMUEL NASCIMENTO DE SOUZA;PL;PL;Não eleito;11;NORDESTE;406
SP;REGISTRO;Prefeito;55;SAMUEL MOREIRA DA SILVA JUNIOR;PSD;REPUBLICANOS / PSD / MDB / PDT / PODE / PP / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / SOLIDARIEDADE / UNIÃO;Eleito;11;SUDESTE;18143
SC;CANOINHAS;Prefeito;28;SAMUEL LUBKE;PRTB;PRTB;Não eleito;11;SUL;329
MA;SÃO PEDRO DA ÁGUA BRANCA;Prefeito;22;SAMUEL KESLEY RIBEIRO DE SOUZA;PL;PL / PRD;Eleito;11;NORDESTE;4424
MG;ANDRELÂNDIA;Prefeito;11;SAMUEL ISAC FONSECA;PP;PP / REPUBLICANOS;Não eleito;11;SUDESTE;2087
MG;GOIABEIRA;Prefeito;77;SAMUEL FERREIRA DA SILVA;SOLIDARIEDADE;SOLIDARIEDADE / MDB;Eleito;11;SUDESTE;1862
CE;CEDRO;Prefeito;13;SAMUEL ENEIAS PINHEIRO VIANA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;7815
PI;SÃO JULIÃO;Prefeito;15;SAMUEL DE SOUSA ALENCAR;MDB;PP / MDB;Não eleito;11;NORDESTE;2442
PR;CURITIBA;Prefeito;16;SAMUEL DE MATTOS FIGUEIREDO;PSTU;PSTU;Não eleito;11;SUL;569
RO;PORTO VELHO;Prefeito;18;SAMUEL COSTA MENEZES;REDE;Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORTE;3359
CE;SANTANA DO CARIRI;Prefeito;13;SAMUEL CIDADE WERTON;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / REPUBLICANOS / AGIR / PSB / UNIÃO / PSD;Eleito;11;NORDESTE;5856
PR;SERTANEJA;Prefeito;55;SAMUEL CARLOS DO PRADO;PSD;PSD / MDB / PL;Eleito;11;SUL;2760
PR;JANDAIA DO SUL;Prefeito;36;SAMUEL BARTOLOMEU FIORUCCI;AGIR;AGIR;Não eleito;11;SUL;327
MG;CORAÇÃO DE JESUS;Prefeito;22;SAMUEL BARRETO NETO;PL;PL / PDT / UNIÃO / PODE;Eleito;11;SUDESTE;6312
MG;CAMPO DO MEIO;Prefeito;55;SAMUEL AZEVEDO MARINHO;PSD;REPUBLICANOS / PSB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;5051
TO;ANGICO;Prefeito;11;SAMUEL ANTONIO MENDANHA;PP;PP / MDB;Não eleito;11;NORTE;545
PR;ARAUCÁRIA;Prefeito;13;SAMUEL ALMEIDA DA SILVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;2137
MA;PENALVA;Prefeito;45;SAMUEL ABREU SILVA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;NORDESTE;8447
MG;UBERABA;Prefeito;22;SAMIR CECÍLIO FILHO;PL;PL;Não eleito;11;SUDESTE;14971
SP;PARAPUÃ;Prefeito;11;SAMIR ALBERTO PERNOMIAN;PP;PP / PODE;Não eleito;11;SUDESTE;0
MG;PADRE CARVALHO;Prefeito;22;SAMIA FERES GOMES DE MEDEIROS;PL;PL / UNIÃO / MOBILIZA;Eleito;11;SUDESTE;1753
MA;SANTA QUITÉRIA DO MARANHÃO;Prefeito;12;SÂMIA COELHO MOREIRA CARVALHO;PDT;PDT / AVANTE;Eleito;11;NORDESTE;14022
PR;IRETAMA;Prefeito;55;SAME SAAB;PSD;PP / PDT / PSB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;3558
MG;ALMENARA;Prefeito;18;SAMARONE AUGUSTO DAMASCENO;REDE;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;29
BA;MARCIONÍLIO SOUZA;Prefeito;55;SAMARA DEBORA BRAGA BRITO DE AZEVEDO;PSD;PSD / PSB;Não eleito;11;NORDESTE;1061
CE;MARANGUAPE;Prefeito;25;SAMARA BEZERRA CORDEIRO DA SILVA;PRD;PRD / DC;Não eleito;11;NORDESTE;16258
MG;BELA VISTA DE MINAS;Prefeito;45;SAMANTHA APARECIDA DE AVILA COSTA MAGALHAES;PSDB;MDB / UNIÃO / PSD / AVANTE / SOLIDARIEDADE / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;5119
SP;BIRIGUI;Prefeito;55;SAMANTA PAULA ALBANI BORINI;PSD;MDB / PSD / UNIÃO;Eleito;11;SUDESTE;24663
CE;POTENGI;Prefeito;12;SALVIANO LINARD DE ALENCAR;PDT;PDT / UNIÃO;Eleito;11;NORDESTE;4246
MG;SERRANIA;Prefeito;13;SALVADOR RODRIGUES MOREIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;0
SP;IGUAPE;Prefeito;44;SALVADOR JOSÉ BARBOSA JUNIOR;UNIÃO;UNIÃO / PSB / PSD / REPUBLICANOS / PP;Eleito;11;SUDESTE;10101
MT;PARANATINGA;Prefeito;44;ANTONIO MARCOS THOMAZINI;UNIÃO;PL / MDB / PRD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / UNIÃO;Eleito;11;CENTRO-OESTE;6681
BA;VEREDA;Prefeito;15;SALVADOR DA ROCHA NONATO;MDB;MDB / PODE;Não eleito;11;NORDESTE;2346
SP;LAVÍNIA;Prefeito;55;SALVADOR CAZUO MATSUNAKA;PSD;PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD;Eleito;11;SUDESTE;1666
RN;FELIPE GUERRA;Prefeito;11;SALOMAO GOMES DE OLIVEIRA;PP;PP / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;5069
PA;SENADOR JOSÉ PORFÍRIO;Prefeito;15;SALOMÃO DA MOTA ESCHRIQUE;MDB;REPUBLICANOS / AGIR / PRD / SOLIDARIEDADE / MDB;Não eleito;11;NORTE;4293
SP;CONCHAS;Prefeito;13;SALOMÃO COSTA MARIANO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;72
BA;IBICUÍ;Prefeito;55;SALOMÃO BRITO DE CERQUEIRA;PSD;PSD / AVANTE / PSB / PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4971
PE;SÃO JOSÉ DA COROA GRANDE;Prefeito;13;SALOMÃO BARROS LINS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;195
MA;SANTA FILOMENA DO MARANHÃO;Prefeito;11;SALOMÃO BARBOSA DE SOUSA;PP;SOLIDARIEDADE / UNIÃO / PP;Eleito;11;NORDESTE;3073
PE;RIO FORMOSO;Prefeito;40;SALMO VALENTIM DA SILVA;PSB;SOLIDARIEDADE / UNIÃO / PRD / AGIR / PSB;Não eleito;11;NORDESTE;4443
SC;BIGUAÇU;Prefeito;15;SALMIR DA SILVA;MDB;MDB / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / REPUBLICANOS / PDT;Eleito;11;SUL;27586
SP;RIBEIRÃO DO SUL;Prefeito;15;SALMA APARECIDA MEROTO BEFFA;MDB;MDB / PSD;Não eleito;11;SUDESTE;1320
SC;SÃO PEDRO DE ALCÂNTARA;Prefeito;11;SALÉZIO ZIMERMANN;PP;PP / PDT / PSB;Não eleito;11;SUL;260
SC;ANITA GARIBALDI;Prefeito;45;SALETE MENEGAZZO VARELA FOREST;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;249
PR;BRAGANEY;Prefeito;15;SALETE JACI DA SILVA SCHMITT FRISON;MDB;MDB;Não eleito;11;SUL;958
PR;LAPA;Prefeito;30;SALETE BARCKI ROCHA ANTUNES;NOVO;NOVO;Não eleito;11;SUL;357
SC;LAURENTINO;Prefeito;22;SALESIO NARDELLI;PL;REPUBLICANOS / PP / PODE / PL / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;1744
AC;RODRIGUES ALVES;Prefeito;55;SALATIEL PINHEIRO MAGALHAES;PSD;REPUBLICANOS / PRD / PL / PSD;Eleito;11;NORTE;6252
RN;PARNAMIRIM;Prefeito;22;SALATIEL MACIEL DE SOUZA;PL;PL / REPUBLICANOS / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / DC / PP;Não eleito;11;NORDESTE;45157
ES;MANTENÓPOLIS;Prefeito;22;SALATIEL DA SILVA E SOUZA;PL;PL;Não eleito;11;SUDESTE;628
RN;FLORÂNIA;Prefeito;45;SAINT CLAY ALCÂNTARA SILVA DE MEDEIROS;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO;Eleito;11;NORDESTE;5551
PE;PETROLÂNDIA;Prefeito;22;SAID OLIVEIRA DE SOUSA;PL;PL;Não eleito;11;NORDESTE;5463
SC;CAPÃO ALTO;Prefeito;55;SADIANA ARRUDA MELO COELHO LOPES;PSD;PSD / PL / MDB;Eleito;11;SUL;1373
RS;SILVEIRA MARTINS;Prefeito;15;SADI TOLFO;MDB;MDB;Eleito;11;SUL;1041
MG;CORONEL FABRICIANO;Prefeito;22;SADI LUCCA;PL;PL / NOVO / UNIÃO / PSD / MOBILIZA / PODE / PRD / PMB / PRTB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB / SOLIDARIEDADE / REPUBLICANOS / PP;Eleito;11;SUDESTE;38459
SC;JARDINÓPOLIS;Prefeito;15;SADI GOMES FERREIRA;MDB;MDB / PP / PL / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;1145
RS;BRAGA;Prefeito;15;SADI ENRIQUE DELLA LIBERA;MDB;MDB;Eleito;11;SUL;1863
SC;SÃO CARLOS;Prefeito;13;SADI BARON;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;647
CE;PINDORETAMA;Prefeito;13;SABRYNA LAYS CUNHA DA ROCHA;PT;REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;4197
SP;BARUERI;Prefeito;50;SABRINA NABUCO DE OLIVEIRA;PSOL;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;5845
MG;SÃO SEBASTIÃO DO MARANHÃO;Prefeito;33;SABRINA MESQUITA LIMA;MOBILIZA;MOBILIZA / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;5435
PB;BONITO DE SANTA FÉ;Prefeito;22;SABINO DIAS DE ALMEIDA JÚNIOR;PL;PL;Não eleito;11;NORDESTE;2501
AL;PIAÇABUÇU;Prefeito;15;RYMES MARINHO LESSA;MDB;MDB / PSD / SOLIDARIEDADE;Eleito;11;NORDESTE;5010
MA;MARACAÇUMÉ;Prefeito;22;RUZINALDO GUIMARAES DE MELO;PL;PDT / PL / PRD;Eleito;11;NORDESTE;9626
PB;JOÃO PESSOA;Prefeito;20;RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR;PODE;MDB / PODE / PRD / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;NORDESTE;69712
MS;TRÊS LAGOAS;Prefeito;27;RUY JOSE DA COSTA NETO;DC;DC / PDT;Não eleito;11;CENTRO-OESTE;16027
BA;GUANAMBI;Prefeito;13;RUY FERNANDES DE AZEVEDO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PSD;Não eleito;11;NORDESTE;9311
PE;BONITO;Prefeito;40;RUY BARBOSA;PSB;PP / PSB / REPUBLICANOS / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / SOLIDARIEDADE;Eleito;11;NORDESTE;12332
MG;MONTES CLAROS;Prefeito;40;RUY ADRIANO BORGES MUNIZ;PSB;PSB;Não eleito;11;SUDESTE;0
SP;MACATUBA;Prefeito;40;RUTH PINHEIRO MACHADO SOARES;PSB;PSB;Não eleito;11;SUDESTE;921
SP;CARDOSO;Prefeito;13;RUTH MARY DA SILVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;86
PA;MARITUBA;Prefeito;11;RUTH MARILIA NOGUEIRA DE MELLO;PP;PP / AGIR;Não eleito;11;NORTE;7074
CE;IRACEMA;Prefeito;22;RUMMENYGGE OLIVEIRA ARAUJO;PL;PL;Não eleito;11;NORDESTE;52
RS;MORRO REDONDO;Prefeito;44;RUI VALDIR OTTO BRIZOLARA;UNIÃO;UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;2530
RS;AGUDO;Prefeito;11;RUI VALDIR MILBRADT;PP;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PP;Não eleito;11;SUL;3995
MS;BATAGUASSU;Prefeito;27;RUI SPÍNOLA BARBOSA;DC;PDT / DC / AVANTE;Não eleito;11;CENTRO-OESTE;373
BA;PINDOBAÇU;Prefeito;15;RUI MANOEL RIBEIRO CAMACAN FILHO;MDB;MDB / REPUBLICANOS / PL;Não eleito;11;NORDESTE;2848
RS;SANT'ANA DO LIVRAMENTO;Prefeito;25;RUI FRANCISCO FERREIRA RODRIGUES;PRD;PRD;Não eleito;11;SUL;553
MA;ARARI;Prefeito;44;RUI FERNANDES RIBEIRO FILHO;UNIÃO;UNIÃO;Não eleito;11;NORDESTE;6106
PR;PRUDENTÓPOLIS;Prefeito;12;RUI BARBOSA FERRO;PDT;NOVO / PDT;Não eleito;11;SUL;10545
MG;BURITIS;Prefeito;22;RUFINO CLOVIS FOLADOR;PL;PL / PDT / PSD / AVANTE / NOVO;Eleito;11;SUDESTE;7867
RS;SÃO JERÔNIMO;Prefeito;13;RUDNEY AMINADAB SANTOS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;1012
PR;PONTAL DO PARANÁ;Prefeito;15;RUDISNEY GIMENES FILHO;MDB;PSD / PP / MDB / PODE / PL / UNIÃO;Eleito;11;SUL;9081
SC;PARAÍSO;Prefeito;15;RUDINEI PASQUAL DEMARCO;MDB;PP / MDB / PSD;Não eleito;11;SUL;1015
SC;GRAVATAL;Prefeito;15;RUDINEI CARLOS DO AMARAL FERNANDES;MDB;MDB;Não eleito;11;SUL;0
RS;VISTA ALEGRE;Prefeito;45;RUDINEI BRIDI;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / PP / MDB;Eleito;11;SUL;1330
RS;VILA FLORES;Prefeito;44;RUDIMAR PERUZZO;UNIÃO;PP / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / UNIÃO;Não eleito;11;SUL;1241
RS;CRUZEIRO DO SUL;Prefeito;13;RUDIMAR MULLER;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / MDB;Não eleito;11;SUL;2737
RS;ALPESTRE;Prefeito;11;RUDIMAR ARGENTON;PP;PP / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;2736
RS;BOA VISTA DAS MISSÕES;Prefeito;12;RUDILBERTO SOARES LANDESFELDT;PDT;PDT / PSB / REPUBLICANOS;Eleito;11;SUL;1146
SP;TORRE DE PEDRA;Prefeito;12;RUDI MARCOS LOURENÇO;PDT;PDT;Não eleito;11;SUDESTE;30
SC;SÃO JOÃO DO OESTE;Prefeito;10;RUDI ALOÍSIO RASCH;REPUBLICANOS;REPUBLICANOS;Não eleito;11;SUL;1031
MT;PONTES E LACERDA;Prefeito;25;BENEDITO BRAGA;PRD;REPUBLICANOS / PP / PRD / DC / UNIÃO;Não eleito;11;CENTRO-OESTE;6544
BA;CANÁPOLIS;Prefeito;15;RUBIÊ QUEIROZ DE OLIVEIRA;MDB;MDB;Não eleito;11;NORDESTE;0
MG;ESPERA FELIZ;Prefeito;12;RÚBIA SIMIQUELI CABRAL;PDT;REPUBLICANOS / PDT / PL;Não eleito;11;SUDESTE;3095
MG;CONCEIÇÃO DA APARECIDA;Prefeito;55;RUBERVAL JOSÉ GONÇALVES;PSD;PSD / PP / SOLIDARIEDADE;Não eleito;11;SUDESTE;2759
BA;CENTRAL;Prefeito;15;RUBENSMAG RODRIGUES BONFIM;MDB;PP / MDB / PSD / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;NORDESTE;5268
MG;CONGONHAL;Prefeito;10;RUBENS VILELA DOS SANTOS JUNIOR;REPUBLICANOS;REPUBLICANOS / PL;Eleito;11;SUDESTE;4058
MA;ALTO PARNAÍBA;Prefeito;45;RUBENS SUSSUMU OGASAWARA;PSDB;PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;2507
SC;LONTRAS;Prefeito;15;RUBENS ROBERTO DOS SANTOS;MDB;MDB / PODE;Eleito;11;SUL;3821
SP;TARABAI;Prefeito;44;RUBENS PINAFFI JUNIOR;UNIÃO;UNIÃO / PL;Eleito;11;SUDESTE;1950
AM;SANTA ISABEL DO RIO NEGRO;Prefeito;25;RUBENS PESSOA DE ALBUQUERQUE NETO;PRD;PRD / AVANTE;Não eleito;11;NORTE;1292
PB;BORBOREMA;Prefeito;15;RUBENS NELSON LEITE CARDOSO DOS SANTOS;MDB;MDB / UNIÃO / SOLIDARIEDADE;Não eleito;11;NORDESTE;1974
SP;UBATUBA;Prefeito;45;RUBENS MARTINS FRANCO JUNIOR;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;1013
MG;ARAXÁ;Prefeito;23;RUBENS MAGELA DA SILVA;CIDADANIA;PP / MDB / PODE / PL / PSB / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;32216
TO;BARRA DO OURO;Prefeito;36;RUBENS KLÉCIO SOARES PINTO;AGIR;AGIR;Não eleito;11;NORTE;57
SP;PRATÂNIA;Prefeito;55;RUBENS JUSTO NETO;PSD;REPUBLICANOS / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;1615
RJ;PETRÓPOLIS;Prefeito;40;RUBENS JOSE FRANCA BOMTEMPO;PSB;PDT / PSB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;27158
GO;VILA BOA;Prefeito;44;RUBENS FRANCISCO LOPES;UNIÃO;PP / UNIÃO / PSD;Eleito;11;CENTRO-OESTE;1548
AL;SÃO MIGUEL DOS MILAGRES;Prefeito;40;RUBENS FELISBERTO DE ATAIDE JUNIOR;PSB;PSB / REPUBLICANOS;Não eleito;11;NORDESTE;2864
PA;MOJU;Prefeito;15;RUBENS DE SOUSA TEIXEIRA;MDB;PP / PDT / MDB / UNIÃO / AVANTE;Eleito;11;NORTE;21473
MG;JURUAIA;Prefeito;40;RUBENS DE ALMEIDA LACERDA;PSB;PSB / PP;Não eleito;11;SUDESTE;2116
TO;MONTE DO CARMO;Prefeito;12;RUBENS DA PAIXÃO PEREIRA AMARAL;PDT;PDT / UNIÃO / AGIR / PL;Eleito;11;NORTE;2262
